Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Betula pendula,Birch,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/2feff0d3-dd16-4364-91f5-5267515abbf1/EuropeanWhiteBirch.jpg?content-type=image%2Fjpeg,"Cadmium, Zinc, Chlorinated Aliphatic Compounds, Trichloroethylene (Tce), Heavy Metals","Accumulator, Hyperaccumulator","Phytoextraction, Phytoaccumulation, Phytostabilization, Phytoscreening, Phytoremediate","1) McCutcheon, S.C, & Schnoor. J.L. (Eds.) (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience.Inc.- http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/uzvards/142479009/(Photo Source)
 3) (Phyto Textbook) Evangelou, M.W., Robinson, B.H., Gunthardt-Goerg, M.S., and Schlin, R. 2013. Metal uptake and allocation in trees grown on contaminated land: implications for biomass production. International Journal of Phytoremediation 15 (1), pp. 77-90.
 4) (Phyto Textbook) Lewis, J., Qvarfort, U. and Sjostrom, J. 2013. Betula pendula: a promising candidate for phytoremediation of TCE in northern climate, International Journal of Phytoremediation, DOI, 140528074112008.
 5) (Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp",Hardiness Zone: 3 - 6,
Bidens pilosa,Black-Jack,,Lead,Accumulator,Phytoextraction,"Cid CV, Rodriguez JH, Salazar MJ, Blanco A, Pignata ML. Effects of co-cropping Bidens pilosa (L.) and Tagetes minuta (L.) on bioaccumulation of Pb in Lactuca sativa (L.) growing in polluted agricultural soils. Int J Phytoremediation. 2016;18(9):908-917. doi:10.1080/15226514.2016.1156636",,
Bougainvillea spectabilis Wiild,Great Bougainvillea,,Cadmium,Accumulator,Phytostabilization,"Wang W, Zhang M, Liu J. Subcellular distribution and chemical forms of Cd in Bougainvillea spectabilis Willd. as an ornamental phytostabilizer: An integrated consideration. Int J Phytoremediation. 2018;20(11):1087-1095. doi:10.1080/15226514.2017.1365335",,
Bouteloua curtipendula,Sideoats Grama,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/7608dfb3-f9d5-4a4b-9177-b306e37fb064/SideoatsGrama.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Copper, Lead, Manganese, Zinc",N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) ITRC Ã¢â‚¬â€ Phytotechnology Technical and Regulatory Guidance and Decision Trees. Revised by The Interstate Technology & Regulatory Council Phytotechnologies Team February 2009 carbon dioxide
 3) http://www.flickr.com/photos/lostinfog/4947413968/(Photo Source)",USDA Hardiness Zone 4-9,
Bouteloua dactyloides,Buffalo Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/371a63b4-f73d-46ee-86e1-ab14b0e1d1bf/BuffaloGrass.jpg?content-type=image%2Fjpeg,"Carbon Dioxide, Hydrocarbons, Polycyclic Aromatic Hydrocarbon (Pah)",Accumulator,Rhizodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. 
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 5) http://www.flickr.com/photos/31031835@N08/3139246071/ (Photo Source)","Perennial Grass: Low Maintenance, drought tolerant lawn reÃ‚Â¬quiring little/no mowing. In studies has been shown to reduce TYP and PAHÃ¢â‚¬â„¢s in soil. Growth Rate: Rapid, mature height of 2Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought",
Bouteloua gracilis,Blue Gamma Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/34c74a73-45b9-40ea-afe5-dbd068dfa4eb/BlueGammaGrass.jpg?content-type=image%2Fjpeg,Carbon Dioxide,N/A,"Phytostabilization, Rhizodegradation","1) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3) http://www.flickr.com/photos/plant_diversity/3797549186/(Photo Source)","Growth Rate: Rapid, mature height of 1Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: High. Moisture Use: Medium. Salinity Tolerance: Medium. Shade Tolerance: Intolerant. Habitat: Capable of growing in a wide variety of soils; i",
Brachiaria brizantha,Signal Grass,,Zinc,"Accumulator, Tolerant",Phytoextraction,"1) Silva EB, Fonseca FG, Alleoni LR, Nascimento SS, Grazziotti PH, Nardis BO. Availability and toxicity of cadmium to forage grasses grown in contaminated soil. Int J Phytoremediation. 2016;18(9):847-852. doi:10.1080/15226514.2016.1146225
 2) Nardis BO, Silva EB, Grazziotti PH, Alleoni LRF, Melo LCA, Farnezi MMM. Availability and zinc accumulation in forage grasses grown in contaminated soil. Int J Phytoremediation. 2018;20(3):205-213. doi:10.1080/15226514.2017.1365347",Urochloa decumbens cv. Basilisk,
Brachiaria mutica,Paragrass,,Chromium,Hyperaccumulator,Phytoextraction,"(Phyto Textbook) Mohanty, M., and Patra, H. K. 2012. Phytoremediation Potential of Paragrassâ€” An In Situ Approach for Chromium Contaminated Soil. International Journal of Phytoremediation 14 (8), pp. 798-805.",,
Brassica campestris Linn.,Mustard,,Endosulfan (Cyclodiene Insecticide),Accumulator,"Phytoextraction, Phytodegradation","(Phyto Textbook) Mukherjee, I., and Kumar, A. 2012. Phytoextraction of endosulfan a remediation technique. Bulletin of Environmental Contamination and Toxicology 88 (2), pp. 250-254.",,
Brassica juncea,Indian Mustard,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/9bb0cb8c-8785-44f1-9c36-51c183a0c3a1/IndianMustard.jpg?content-type=image%2Fjpeg,"Copper, Zinc, Selenium, Cadmium, Chromium, Vanadium, Lithium, Nickel","Accumulator/Tolerant, Hyperaccumulator","Rhizofiltration, Phytoaccumulation, Phytoextraction, Phytostabilization","1) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 2) James A. Duke. 1983. Handbook of Energy Crops. unpublished. http://www.hort.purdue.edu/newcrop/duke_energy/Brassica_juncea.html
 3) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 4) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 5) http://www.flickr.com/photos/dinesh_valke/3031209165/(Photo Source)
 6) Nissim WG, Hasbroucq S, Kadri H, Pitre FE, Labrecque M. Potential of selected Canadian plant species for phytoextraction of trace elements from selenium-rich soil contaminated by industrial activity. Int J Phytoremediation. 2015;17(8):745-752. doi:","Interesting Qualities: Early Spring bloom of brilliant yellow flowers. Growth Rate: Rapid, mature height of 4Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Forb/Herb . Drought Tolerance: Low. Moisture Use: Medium. Salinity. Tolerance: None. Shade Tolerance:",
Brassica napus,"Canola, Rapeseed",https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/21384144-78e4-45c0-aa2b-3c4c24b88a37/Canola.jpg?content-type=image%2Fjpeg,"Cadmium, Zinc","Accumulator, Hyperaccumulator",Phytoextraction,"1) Groom, C.A, A. Halasz, L. Paquet, N. Morris, L. Olivier, C. Dubois and J. Hawari (2002) Accumulation of HMX (Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine) in Indigenous and Agricultural Plants Grown in HMX- Contaminated Anti-Tank Firing-Range Soil. Environ. Sci. & Technol. 2002, Vol 36, Issue 1 p112-118.
 2) A Resource Guide: The Phytoremediation of Lead to Urban, Residential Soils. Site adapted from a report from Northwestern University written by Joseph L. Fiegl, Bryan P. McDonnell, Jill A. Kostel, Mary E. Finster, and Dr. Kimberly Gray Phytoremediation. By McCutcheon & Schnoor. 2003, New Jersey, John Wiley & Sons pg 19 (Barium source)
 3) http://www.flickr.com/photos/joeshlabotnik/482197327/ (Photo Source)
 4) Pan F, Meng Q, Luo S, et al. Enhanced Cd extraction of oilseed rape (Brassica napus) by plant growth-promoting bacteria isolated from Cd hyperaccumulator Sedum alfredii Hance. Int J Phytoremediation. 2017;19(3):281-289. doi:10.1080/15226514.2016.1225280","Also known as Field Mustard, or Rapeseed plant. Hardiness zone 8-11.",
Brassica oleracea var. capitata.,Cabbage,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/3a1dd21e-65d2-4a03-bcb2-55bfe8a215b7/Cabbage.jpg?content-type=image%2Fjpeg,Cesium,N/A,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2)http://www.flickr.com/photos/frankdouwes/3984804380/ (Photo Source)","Glomus mosseae as chelating agent (amendment). It increases the surface area of the plan roots, allowing roots to acquire more nutrients, water and therefore more available radionuclides in soil solution. Ammonium chloride as chelating agent (amendÃ‚Â¬men",
Brickellia sp.,Brickellbush,,Zinc,Accumulator,Phytoaccumulation,"(Phyto Textbook) Cortes-Jimenez, E., Mugica-Alvarez, V., Gonzalez-Chavez, M., Carrillo-Gonzalez, R., Gordillo, M., and Mier, M. 2013. Natural revegetation of alkaline tailing heaps at Taxco, Guerrero, Mexico. International Journal of Phytoremediatio15 (2), pp. 127-141.","Guardiola tulocarpus, Juniperus flaccida, and Ficus goldmanii, presented low BCFs. These species are well suited to cope with the toxic conditions, and they could be propagated for revegetation and stabilization of these residues and to decrease metal bio",
Broussonetia papyrifera,Paper Mulberry,,Lead,Accumulator/Tolerant,,"Kang W, Bao J, Zheng J, Xu F, Wang L. Phytoremediation of heavy metal contaminated soil potential by woody plants on Tonglushan ancient copper spoil heap in China. Int J Phytoremediation. 2018;20(1):1-7. doi:10.1080/15226514.2014.950412",,
Bryophyllum pinnatum,Cathedral Bells,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Bulbine frutescens,Bulbine Frutescens,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Groundcover. Variety: Orange and Yellow. Hardiness zone 8b-11.,
Cajanus cajan,Pigeon Pea,,"Chromium, Lead",Accumulator,Rhizofiltration,"Jerez Ch JA, Romero RM. Evaluation of Cajanus cajan (pigeon pea) for phytoremediation of landfill leachate containing chromium and lead. Int J Phytoremediation. 2016;18(11):1122-1127. doi:10.1080/15226514.2016.1186592",,
Calendula algeriensis Boiss and Reuter,,,"Lead, Zinc, Copper, Cadmium",Accumulator,"Phytoextraction, Phytostabilization","Midhat L, Ouazzani N, Esshaimi M, Ouhammou A, Mandi L. Assessment of heavy metals accumulation by spontaneous vegetation: Screening for new accumulator plant species grown in Kettara mine-Marrakech, Southern Morocco. Int J Phytoremediation. 2017;19(2):191-198. doi:10.1080/15226514.2016.1207604",,
Calendula officinalis L,"Pot Marigold, Ruddles",,"Cadmium, Lead",Accumulator,,"Mani D, Kumar C, Patel NK. Hyperaccumulator oilcake manure as an alternative for chelate-induced phytoremediation of heavy metals contaminated alluvial soils. Int J Phytoremediation. 2015;17(1-6):256-263. doi:10.1080/15226514.2014.883497",,
Canavalia ensiformis L.,Jack Bean,,Cadmium,Accumulator,Phytoextraction,"Ariana Carramaschi Francato Zancheta, Cleide Aparecida De Abreu, Fernando CÃ©sar BachiegaZambrosi, Norma de MagalhÃ£es Erismann & Ana Maria MagalhÃ£es Andrade LagÃ´a (2015) Cadmium Accumulationby Jack-Bean and Sorghum in Hydroponic Culture, International Journal of Phytoremediation, 17:3, 298-303, DOI:10.1080/15226514.2014.883492 
 
 (1) (PDF) Cadmium Accumulation by Jack-Bean and Sorghum in Hydroponic Culture. Available from: https://www.researchgate.net/publication/268336638_Cadmium_Accumulation_by_Jack-Bean_and_Sorghum_in_Hydroponic_Culture [accessed Jun 25 2020].",,
Cannabis sativa,Hemp,,Cadmium,Accumulator,Phytoextraction,"Ahmad A, Hadi F, Ali N. Effective Phytoextraction of Cadmium (Cd) with Increasing Concentration of Total Phenolics and Free Proline in Cannabis sativa (L) Plant Under Various Treatments of Fertilizers, Plant Growth Regulators and Sodium Salt. Int J Phytoremediation. 2015;17(1-6):56-65. doi:10.1080/15226514.2013.828018",,
Carduus pycnocephalus L. subsp. pycnocephalus,Italian Thistle,,Metal,,Phytostabilization,"(Phyto Textbook) Perrino, E. V., Brunetti, G., and Farrag, K. 2013. Plant communities in multi-metal contaminated soils: a case study in the National Park of Alta Murgia (Apulia region-Southern Italy). International Journal of Phytoremediation 16, pp. 871-888.",,
Carex lyngbyei,Lyngbye's Sedge,,"Cadmium, Lead",N/A,N/A,"1) Gallagher, J.L and H.V. Kibby, 1980. Marsh plants as vectors in trace metal transport in Oregon tidal marshes. American Journal of Botany, 67: 1069-1074","Hardiness Zone, zone 3-9.",
Carex praegracilis,Clustered Field Sedge,,Trichloroethylene (Tce) Â And By-Products,N/A,N/A,"1) Jordahl, J., R. Tossell, M. Barackman and G. Vogt (2003) Phytoremediation for Hydraulic Control and Remediation: Beale 
 2) Air Force Base and Koppel Stockton Terminal. Abstracts from US EPA International Applied Phytotechnologies Workshop March 3-5, 2003 Chicago, I",,
Carex vulpinoidea,Fox Sedge,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/f427a1cd-2141-4b05-9663-c3828ba64e3a/FoxSedge.jpg?content-type=image%2Fjpeg,"Cadmium, Copper, Lead",Accumulator,N/A,"1) http://www.arkive.org/true-fox-sedge/carex-vulpina/image-A2883.html
 2) http://www.flickr.com/photos/50352333@N06/4733667076/(Photo Source)","Salt Tolerant: Low to moderate. Qualities: Densely clumped cool season, perennial sedge. Shallow water of 6Ã¢â‚¬Â of inundation or less wet/saturated conditions. Partial to full sun. Roots: Short rootstocks. Hardy to Zones 3 - 7.",
Cassia corymbosa,Senna,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. USDA Hardiness Zone: 11,
Catharanthus roseus L. w/ P. fluorescens and B. subtilis,Madasgascar Periwinkle,,"Copper, Lead",Tolerant,Accumulator,"Khan WU, Ahmad SR, Yasin NA, Ali A, Ahmad A. Effect of Pseudomonas fluorescens RB4 and Bacillus subtilis 189 on the phytoremediation potential of Catharanthus roseus (L.) in Cu and Pb-contaminated soils. Int J Phytoremediation. 2017;19(6):514-521. doi:10.1080/15226514.2016.1254154",,
Ceder la fissilis,,,"Zinc, Cadmium, Copper, Palladium",Tolerant,Accumulator,"Meyer ST, Castro SR, Fernandes MM, Soares AC, de Souza Freitas GA, Ribeiro E. Heavy-metal-contaminated industrial soil: Uptake assessment in native plant species from Brazilian Cerrado. Int J Phytoremediation. 2016;18(8):832-838. doi:10.1080/15226514.2016.1146224",,
Celosia argentea Linn.,Plumed Cockscomb,,"Moscovium, Cadmium",Hyperaccumulator,Phytoextraction,"Liu J, Mo L, Zhang X, Yao S, Wang Y. Simultaneous hyperaccumulation of cadmium and manganese in Celosia argentea Linn. Int J Phytoremediation. 2018;20(11):1106-1112. doi:10.1080/15226514.2017.1365341",,
Centella asiatica,Indian Pennywort,,Iron,Hyperaccumulator,Phytostabilization,"Bhat IU, Mauris EN, Khanam Z. Phytoremediation of iron from red soil of tropical region by using Centella asiatica. Int J Phytoremediation. 2016;18(9):918-923. doi:10.1080/15226514.2016.1156637",,
Cerastium arvense,Field Chickweed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/55d44575-7607-48a3-a867-948c9f60a46c/FieldChickweed.jpg?content-type=image%2Fjpeg,Cadmium,Accumulator,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2)http://www.flickr.com/photos/miguelvieira/4687623115/(Photo Source)","Tufted perennial, white flowers. USDA Hardiness Zone 8",
Cercis canadensis,Eastern Red Bud,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/1314bc51-7c0a-4dcd-bbd5-93e2460a8238/EasternRedBud.jpg?content-type=image%2Fjpeg,"Perchloroethylene (Pce), Petroleum, Trichloroethylene (Tce) Â And By-Products, Vinyl Chloride",Tolerant,N/A,"1) Ferro, A., Chard, B., Gefell, M., Thompson, B., and R. Kjelgren. 2000. ""Phytoremediation of Organic Solvents in Groundwater: Pilot Study at a Superfund Site""Â. In: G. Wickramanayake, A. Gavaskar, B. Alleman, and V. Magar (eds.) Bioremediation and Phytoremediation of Chlorinated and Recalcitrant Compounds, p461-466. Battelle Press, Columbus, Ohio.; Ferro, A., Kennedy, J., Kjelgren, R., Rieder, J., and S. Perrin. 1999.""Toxicity Assessment of Volatile Organic Compounds in Poplar Trees""Â. International Journal of Phytoremediation. 1(1): 9-17. 
 2) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003
 3) http://tinyurl.com/79qd8wd (Photo Source)",Tree. Oklahoma variety tolerant of Petroleum. Hardiness Zones: Zones 4 - 9.,
Chamaedorea seifrizii,Bamboo Palm,,"Benzene, Formaldehyde, Toluene, Xylene",N/A,N/A,"1) Wolverton, B.C. (1996) How to Grow Fresh Air. New York: Penguin Books.
 2) B. C. Wolverton and J.D. Wolverton. ""Plants and Soil Microorganisms: Removal of Formaldehyde, Xylene, Ammonia From the Indoor Environment""
 3) http://www.flickr.com/photos/adaduitokla/5969514177/ (Photo Source)","Also known as Reed Palm. Tree, shrub, Hardiness zone 9-11. Part sun, shade.",
Chelidonium majus var. asiaticum,Greater Celandine,,Arsenic,Accumulator,Phytostabilization,"(Phyto Textbook) Zhang, Z., Sugawara, K., Hatayama, M., Huang, Y., and Inoue, C. 2014. Screening of As-accumulating plants using a foliar application and a native accumulation of As. International Journal of Phytoremediation 16 (3), pp. 257-266, DOI, 10.1080/15226514.2013.773277.",,
Chenopodium ambrosioides L.,Mexican Tea,,Manganese,Tolerant,Accumulator,"Xue S, Zhu F, Wu C, Lei J, Hartley W, Pan W. Effects of manganese on the microstructures of Chenopodium ambrosioides L., A manganese tolerant plant. Int J Phytoremediation. 2016;18(7):710-719. doi:10.1080/15226514.2015.1131233",,
